SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,DomEcoReg
WILL,POR,4.5451E+14,"Whipple Creek near Salmon Creek, WA",11.39629,130.3832,ECO_3
WILL,POR,4.54543E+14,"South Scappose Creek at Scappose, OR",9.858696,156.8012,ECO_1
WILL,POR,4.54549E+14,"Salmon Creek near Battleground, WA",10.18012,202.6654,ECO_3
WILL,POR,4.55122E+14,"Rock Creek near Battleground, WA",10.27029,198.5236,ECO_3
WMIC,MGB,4072233,"Lancaster Brook at Shawano Avenue at Howard, WI",6.796292,81.43511,ECO_51
WMIC,MGB,4078085,"Black Otter Creek near Hortonville, WI",6.993164,84.66422,ECO_51
WMIC,MGB,4081897,"Sawyer Creek at Westhaven Road at Oshkosh, WI",7.39318,83.54754,ECO_53
WMIC,MGB,4084429,"Mud Creek at Spencer Road at Appleton, WI",7.104436,82.37061,ECO_53
WMIC,MGB,4084468,"Garners Creek at Park Street at Kaukauna, WI",7.171308,82.09846,ECO_53
WMIC,MGB,4085046,"Apple Creek at Sniderville, WI",7.146079,80.31915,ECO_53
WMIC,MGB,40850683,"Ashwaubenon Creek at South Bridge Rd nr Depere, WI",7.105702,78.58366,ECO_53
WMIC,MGB,40851235,"Bower Creek Trib at Lime Kiln Road nr Bellevue, WI",6.89765,82.58024,ECO_53
WMIC,MGB,40851325,"Baird Creek at Superior Road at Green Bay, WI",6.833621,83.18407,ECO_53
WMIC,MGB,4085188,"Rio Creek at Pheasant Road near Rio Creek, WI",6.899378,83.58215,ECO_53
WMIC,MGB,40851932,"Kewaunee River Trib @ Lowell Road nr Luxemburg, WI",6.772398,84.12357,ECO_53
WMIC,MGB,4085270,"Jambo Creek at Jambo Creek Road near Mishicot, WI",7.136595,83.31773,ECO_53
WMIC,MGB,40853145,"Black Creek at Curran Road near Denmark, WI",6.91933,85.39252,ECO_53
WMIC,MGB,4085322,"Devils River at Rosencrans Road near Maribel, WI",6.866252,85.52141,ECO_53
WMIC,MGB,40854395,"Point Creek at Ucker Point Road near Newton, WI",7.38638,83.1693,ECO_53
WMIC,MGB,4085455,"Meeme River at Washington Road near Cleveland, WI",7.327083,85.01874,ECO_53
WMIC,MGB,4086699,"Pigeon Creek at Williamsburg Dr at Theinsville, WI",8.025625,86.24799,ECO_53
WMIC,MGB,40869415,"Lincoln Creek at 47th Street at Milwaukee, WI",8.328092,84.96287,ECO_53
WMIC,MGB,4087030,"Menomonee River at Menomonee Falls, WI",7.871766,88.23931,ECO_53
WMIC,MGB,408703164,"Lily Creek at Good Hope Road nr Menomonee Falls, WI",8.118302,87.08562,ECO_53
WMIC,MGB,4087070,"Little Menomonee River at Milwaukee, WI",8.157412,85.65549,ECO_53
WMIC,MGB,40870856,"Underwood Crk @ Watertown Plank Rd @ Elm Grove, WI",8.169025,88.65446,ECO_53
WMIC,MGB,4087118,"Honey Creek near Portland Avenue at Wauwatosa, WI",8.352052,87.92551,ECO_53
WMIC,MGB,4087204,"Oak Creek at South Milwaukee, WI",8.474835,89.46886,ECO_53
WMIC,MGB,4087213,"Root River at Layton Avenue at Greenfield, WI",8.293793,88.969,ECO_53
WMIC,MGB,40872393,"Hoods Creek at Brook Road near Franksville, WI",8.507406,90.55103,ECO_54
WMIC,MGB,4087258,"Pike River at Cth A near Kenosha, WI",8.601041,90.00302,ECO_54
WMIC,MGB,4087270,"Pike Creek at 43rd Street at Kenosha, WI",8.721246,89.39011,ECO_54
WMIC,MGB,5527729,"Kilbourn Ditch at 6Oth Street near Kenosha, WI",8.534684,90.41576,ECO_54
WMIC,MGB,55437901,"Fox River at River Road near Sussex, WI",7.930737,88.88811,ECO_53
